Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
C501,1,0.1uF X79,,,,Power:C1206,
C502,1,10uF X79,,,,Power:C1206,
"C1001,C1002,C1003,C1004,C1005,C1006,C1007,C1008",8,1uF X79,,,,Power:C1206,
"D1,D2,D502,D1001,D1002,D1003,D1004",7,LED1206,,,,Power:LED-1206,
D503,1,DIODE-DO214AC,,,,TVSdiode:DO214AC_210,
F1,1,32V/12A,,,,Power:1206,
"H1,H2,H3,PHSA,PHSB1",1,Conn_01x05_Socket,,,,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,~
J1,1,PJ-080BH,,,,Connector_BarrelJack:CUI_PJ-080BH,
J2,1,Conn_01x02_Socket,,,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~
"Q1001,Q1002,Q1003,Q1007,Q1008",5,ACPL-P347,,,,Power:SO-6W,
"Q1004,Q1005,Q1006,Q1009,Q1010,Q1011,Q1012",7,N-MOSFETT0252,,,,Power:TO252,
"R1,R2,R502,R1010,R1011,R1012,R1021",7,1k,,,,Power:R1206,
"R1001,R1003,R1005,R1013,R1015",5,232R,,,,Power:R1206,
"R1002,R1004,R1006,R1014,R1016,R1018,R1024,R1025",8,154R,,,,Power:R1206,
"R1007,R1008,R1009,R1017",4,25R,,,,Power:R1206,
"R1019,R1020,R1022,R1023",4,10k,,,,Power:R1206,
"T1001,T1002,T1003,T1004",4,CON3.81,,,,Power:2CONN(3.81MM),
"U1001,U1002",2,NOT(3)TSSOP8,,,,Power:TSSOP-8,
