"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C501","1","0.1uF","","","","Power:C1206",""
"C502","1","10uF","","","","Power:C1206",""
"C1001,C1002,C1003","3","1uF","","","","Power:C1206",""
"D1,D502,D1001,D1002,D1003","5","LED1206","","","","Power:LED-1206",""
"D2,D3,D4","3","Diode","","","","Diode_SMD:ESD5z5V0","https://diotec.com/de/produktliste/D.html"
"D503","1","DIODE-DO214AC","","","","Power:DO214AC",""
"F1","1","32V/12A","","","","Power:1206",""
"H1,H2,H3","1","Conn_01x03_Socket","","","","","~"
"J1","1","Barrel_Jack","","","","","~"
"J2","1","Conn_01x02_Socket","","","","","~"
"Q1001,Q1002,Q1003","3","ACPL-P347","","","","Power:SO-6W",""
"Q1004,Q1005,Q1006","3","N-MOSFETT0252","","","","Power:TO252",""
"R1,R502,R1010,R1011,R1012","5","1k","","","","Power:R1206",""
"R1001,R1003,R1005","3","232R","","","","Power:R1206",""
"R1002,R1004,R1006","3","154R","","","","Power:R1206",""
"R1007,R1008,R1009","3","25R","","","","Power:R1206",""
"T1001,T1002,T1003","3","CON3.81","","","","Power:2CONN(3.81MM)",""
